SUPERBLOCK,64,24,1024,128,8192,24,11
GROUP,0,64,24,43,13,3,4,5
BFREE,21
BFREE,22
BFREE,23
BFREE,24
BFREE,25
BFREE,26
BFREE,27
BFREE,28
BFREE,29
BFREE,30
BFREE,31
BFREE,32
BFREE,33
BFREE,34
BFREE,35
BFREE,36
BFREE,37
BFREE,38
BFREE,39
BFREE,40
BFREE,41
BFREE,42
BFREE,43
BFREE,44
BFREE,45
BFREE,46
BFREE,47
BFREE,48
BFREE,49
BFREE,50
BFREE,51
BFREE,52
BFREE,53
BFREE,54
BFREE,55
BFREE,56
BFREE,57
BFREE,58
BFREE,59
BFREE,60
BFREE,61
BFREE,62
BFREE,63
IFREE,12
IFREE,13
IFREE,14
IFREE,15
IFREE,16
IFREE,17
IFREE,18
IFREE,19
IFREE,20
IFREE,21
IFREE,22
IFREE,23
IFREE,24
INODE,2,d,755,0,0,3,08/09/18 22:21:32,08/09/18 22:21:32,08/09/18 22:21:32,1024,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRENT,2,0,2,12,1,'.'
DIRENT,2,12,2,12,2,'..'
DIRENT,2,24,11,1000,10,'lost+found'
INODE,11,d,700,0,0,2,08/09/18 22:21:32,08/09/18 22:21:32,08/09/18 22:21:32,12288,24,9,10,11,12,13,14,15,16,17,18,19,20,0,0,0
DIRENT,11,0,11,12,1,'.'
DIRENT,11,12,2,1012,2,'..'
